TimeSinceReference,Pressure,SmoothedPressure
9250.15,6.699669278698501,6.307279598108876
9250.152,6.870369078004007,6.416763181198171
9250.154,6.980968877309518,6.533333945754646
9250.156,6.955468676615027,6.647977009363422
9250.158,6.776368475920538,6.757347331659454
9250.16,6.503568275226048,6.8639730347908685
9250.162,6.324468074531556,6.970000879024424
9250.164,6.384167873837068,7.070976087245343
9250.166,6.699667673142576,7.153439965174932
9250.168,7.108867472448084,7.2031896486503255
9250.17,7.398867271753593,7.217876924263312
9250.172,7.458667071059102,7.210617734449833
9250.174,7.339166870364613,7.202739520417328
9250.176,7.228266669670122,7.209161867985386
9250.178,7.262566468975633,7.231068680277909
9250.18,7.43286626828114,7.260196566631505
9250.182,7.58656606758665,7.286411255371904
9250.184,7.611965866892161,7.303490528176888
9250.186,7.458665666197668,7.308066087398157
9250.188,7.194365465503179,7.29349457045235
9250.19,6.912765264808687,7.248809174952664
9250.192,6.6742650641141985,7.160814702583901
9250.194,6.478164863419707,7.020290114385021
9250.196,6.315964662725218,6.822763750124365
9250.198,6.196564462030725,6.571575125421449
9250.2,6.171164261336237,6.2736903968224285
9250.202,6.247764060641746,5.938288890406628
9250.204,6.3244638599472545,5.5721608553843005
9250.206,6.264763659252763,5.178830061499212
9250.208,5.932263458558273,4.758811770246629
9250.21,5.327063257863783,4.310785083065648
9250.212,4.551163057169292,3.8371488346351046
9250.214,3.7158628564748017,3.3423668017187773
9250.216,2.8887626557803117,2.8299188298765108
9250.218,2.0616624550858216,2.300704876988264
9250.22,1.2432622543913308,1.7558878212569131
9250.222,0.49316205369684063,1.1964998283546253
9250.224,-0.11233814699765077,0.6232617055822077
9250.226,-0.572738347692141,0.03482511317132002
9250.228,-1.0073385483866328,-0.5706201068281953
9250.23,-1.5020387490811231,-1.19256537596776
9250.232,-2.0648389497756128,-1.8250399115165914
9250.234,-2.584639150470103,-2.4573411511721264
9250.236,-2.994139351164593,-3.0730487228739936
9250.238,-3.3096395518590835,-3.6541412998408656
9250.24,-3.6505397525535743,-4.186155028088889
9250.242,-4.119439953248064,-4.661371683679838
9250.244,-4.707740153942557,-5.080796075318523
9250.246,-5.355740354637047,-5.45241122862797
9250.248,-5.944040555331537,-5.787161102892137
9250.25,-6.378640756026028,-6.096581177226504
9250.252,-6.685640956720518,-6.3905293386089586
9250.254,-6.975341157415008,-6.674851687425599
9250.256,-7.342141358109499,-6.950051473939678
9250.258,-7.7682415588039895,-7.211710677793174
9250.26,-8.12644175949848,-7.45445028178707
9250.262,-8.30564196019297,-7.6759229710740495
9250.264,-8.296842160887461,-7.880371595776968
9250.266,-8.186242361581952,-8.074457370357033
9250.268,-8.049842562276442,-8.262456461890418
9250.27,-7.955842762970933,-8.441425648193896
9250.272,-7.9219429636654235,-8.604981910664447
9250.274,-7.9731431643599135,-8.749432669449497
9250.276,-8.134943365054404,-8.878833909105031
9250.278,-8.433543565748895,-9.005657500462913
9250.28,-8.816943766443385,-9.14129445791416
9250.282,-9.192143967137877,-9.291169618243613
9250.284,-9.456444167832368,-9.450161338769625
9250.286,-9.558844368526858,-9.604790651433229
9250.288,-9.575844569221347,-9.742151399688266
9250.29,-9.62704476991584,-9.856285233236392
9250.292,-9.788844970610329,-9.946559158044607
9250.294,-10.01074517130482,-10.013727635327376
9250.296,-10.18954537199931,-10.051662985197014
9250.298,-10.2492455726938,-10.047555014603333
9250.3,-10.19804577338829,-9.985048075950683
9250.302,-10.104445974082783,-9.85238107411797
9250.304,-10.036246174777272,-9.645536346767532
9250.306,-10.001946375471762,-9.371243174348649
9250.308,-9.933746576166254,-9.039800553000312
9250.31,-9.746446776860743,-8.661689009223053
9250.312,-9.328546977555234,-8.243760350668683
9250.314,-8.680547178249725,-7.793377308119926
9250.316,-7.870647378944215,-7.318656877013779
9250.318,-7.018147579638706,-6.82537198118317
9250.32,-6.216747780333195,-6.315281567627041
9250.322,-5.475147981027688,-5.786664520164279
9250.324,-4.750148181722178,-5.242226117840161
9250.326,-4.042748382416669,-4.6934579857863135
9250.328,-3.3435485831111587,-4.158559351801965
9250.33,-2.7125487838056497,-3.6546644454413437
9250.332,-2.2009489845001395,-3.1910992688104525
9250.334,-1.88574918519463,-2.7684597783852483
9250.336,-1.7663493858891197,-2.3841296315893876
9250.338,-1.76634958658361,-2.0361824472364907
9250.34,-1.7150497872781028,-1.727833823782154
9250.342,-1.535949987972593,-1.4645296790922964
9250.344,-1.2377501886670839,-1.247980599337505
9250.346,-0.9476503893615735,-1.073156981148175
9250.348,-0.7346505900560647,-0.9268277680132505
9250.35,-0.5897507907505553,-0.7946607310805022
9250.352,-0.513050991445045,-0.6666499103639703
9250.354,-0.5045511921395356,-0.537484600352949
9250.356,-0.5812513928340266,-0.40247083123346844
9250.358,-0.7006515935285158,-0.25411016846709433
9250.36,-0.7688517942230089,-0.0831014397126539
9250.362,-0.7006519949174983,0.11429505316955087
9250.364,-0.4533521956119895,0.33639799041820034
9250.366,-0.06965239630647879,0.5771128055187276
9250.368,0.3649474029990305,0.8307686455402804
9250.37,0.7998472023045391,1.0918091538665011
9250.372,1.1920470016100495,1.3539987320417919
9250.374,1.58424680091556,1.610759682628455
9250.376,2.0107466002210685,1.8610566739311585
9250.378,2.453746399526578,2.1101017242019213
9250.38,2.854446198832086,2.366980884686794
9250.382,3.161445998137596,2.637539953911576
9250.384,3.3918457974431053,2.921184891862227
9250.386,3.630345596748615,3.2114805423435904
9250.388,3.9119453960541257,3.497770204758965
9250.39,4.167745195359634,3.7684281648226383
9250.392,4.295344994665145,4.012206946227131
9250.394,4.252944793970654,4.221261817487715
9250.396,4.141944593276163,4.392766355297965
9250.398,4.108044392581672,4.532355764993086
9250.4,4.227144191887181,4.6530933108763435
9250.402,4.45744399119269,4.770011685120428
9250.404,4.6959437904982,4.890911294885749
9250.406,4.90084358980371,5.015684944665111
9250.408,5.105443389109219,5.1369527888986655
9250.41,5.343943188414729,5.247531324602913
9250.412,5.5743429877202395,5.345238733596033
9250.414,5.719242787025749,5.430579340202351
9250.416,5.710742586331259,5.505369936278657
9250.418,5.582842385636766,5.57332739792183
9250.42,5.446442184942276,5.640129022429164
9250.422,5.395241984247786,5.711511784177636
9250.424,5.463441783553295,5.788927125778689
9250.426,5.634041582858805,5.86613088436816
9250.428,5.872841382164314,5.933933547836534
9250.43,6.1711411814698245,5.985048966657662
9250.432,6.4438409807753345,6.018207425141832
9250.434,6.5802407800808425,6.034228059828178
9250.436,6.4866405793863535,6.033868687494515
9250.438,6.222340378691859,6.016175289186826
9250.44,5.9068401779973705,5.982485576382824
9250.442,5.676439977302881,5.942086744589702
9250.444,5.60853977660839,5.909717726766393
9250.446,5.6764395759139,5.895836452010829
9250.448,5.84713937521941,5.898062421902509
9250.45,6.051639174524919,5.903751635037432
9250.452,6.171138973830429,5.900892136343644
9250.454,6.119838773135937,5.887427906165123
9250.456,5.932238572441447,5.871465255488182
9250.458,5.736138371746955,5.862803826292463
9250.46,5.667938171052464,5.867946026440374
9250.462,5.710737970357975,5.8909761872762445
9250.464,5.753437769663485,5.935819735265503
9250.466,5.7107375689689945,6.007100664792145
9250.468,5.667937368274503,6.103627666624857
9250.47,5.753437167580014,6.215560649503551
9250.472,6.051636966885523,6.327384295772909
9250.474,6.469636766191034,6.429406032600356
9250.476,6.776336565496541,6.520596593576628
9250.478,6.81903636480205,6.606170615416361
9250.48,6.67423616410756,6.69219960391106
9250.482,6.58873596341307,6.781066493423662
9250.484,6.75933576271858,6.874896752539631
9250.486,7.134635562024089,6.97775010045869
9250.488,7.501035361329597,7.089971886426188
9250.49,7.680135160635109,7.201642208722222
9250.492,7.680134959940618,7.296686514872238
9250.494,7.6034347592461256,7.3637369143883475
9250.496,7.5095345585516355,7.405792950970095
9250.498,7.390434357857146,7.433452104434959
9250.5,7.236734157162655,7.452015750704316
9250.502,7.108833956468164,7.455968228142503
9250.504,7.100333755773672,7.436280796840782
9250.506,7.236733555079184,7.393224113169807
9250.508,7.4073333543846935,7.338780058491463
9250.51,7.484033153690202,7.288243199320313
9250.512,7.424332952995712,7.243353963876788
9250.514,7.28793275230122,7.189910372518906
9250.516,7.168532551606729,7.1089522427264855
9250.518,7.083332350912238,6.99352573806569
9250.52,6.938532150217748,6.855892360818022
9250.522,6.674231949523259,6.716987323338693
9250.524,6.392631748828768,6.592757919414998
9250.526,6.2477315481342774,6.486790144132932
9250.528,6.282031347439789,6.392471178959677
9250.53,6.341731146745298,6.298549876124083
9250.532,6.247730946050806,6.190921925341842
9250.534,5.983430745356314,6.0568382778239025
9250.536,5.676430544661825,5.887961537992871
