TimeSinceReference,Pressure,SmoothedPressure
9360.134,-2.4013673127254656,-1.304364862743027
9360.136,-2.742367513419956,-1.6977513463438043
9360.138,-2.8956677141144462,-2.0688256783124293
9360.14,-2.9040679148089366,-2.4215663493473936
9360.142,-2.852968115503427,-2.757895395250732
9360.144,-2.7850683161979175,-3.07304383041346
9360.146,-2.7507685168924096,-3.3610780921820145
9360.148,-2.8190687175869,-3.6259191282573426
9360.15,-3.0406689182813906,-3.88581564344815
9360.152,-3.441169118975881,-4.165454657761456
9360.154,-3.969869319670371,-4.48143664855774
9360.156,-4.549569520364861,-4.834402654798039
9360.158,-5.0866697210593514,-5.210742195611873
9360.16,-5.495969921753842,-5.592403730107701
9360.162,-5.794670122448332,-5.970491435189699
9360.164,-6.067370323142823,-6.350379070071628
9360.166,-6.433970523837315,-6.748980057006908
9360.168,-6.9454707245318055,-7.18373458553573
9360.17,-7.5591709252262955,-7.660937713573152
9360.172,-8.198871125920785,-8.166580308090042
9360.174,-8.787071326615276,-8.672974359258388
9360.176,-9.349671527309766,-9.153812222290545
9360.178,-9.903871728004257,-9.597583058295674
9360.18,-10.449371928698747,-10.006826263553172
9360.182,-10.926872129393239,-10.389674144135348
9360.184,-11.267872330087728,-10.75157352348902
9360.186,-11.43007253078222,-11.0934606108104
9360.188,-11.45557273147671,-11.41469806668215
9360.19,-11.430072932171202,-11.714834694193069
9360.192,-11.506673132865691,-11.989859366632034
9360.194,-11.804973333560183,-12.23045779126475
9360.196,-12.299673534254673,-12.424202786624035
9360.198,-12.811173734949163,-12.564589368504912
9360.2,-13.101073935643653,-12.653231941961776
9360.202,-13.007274136338143,-12.69822886431299
9360.204,-12.597974337032634,-12.705050539208953
9360.206,-12.171574537727125,-12.67233618742889
9360.208,-12.035374738421616,-12.595873959200953
9360.21,-12.248574939116107,-12.471140098821376
9360.212,-12.589575139810597,-12.297728863924434
9360.214,-12.751375340505087,-12.0790928413827
9360.216,-12.580875541199578,-11.822252108416253
9360.218,-12.145975741894068,-11.532467774186207
9360.22,-11.591775942588558,-11.2104801826729
9360.222,-11.020776143283049,-10.849556571503575
9360.224,-10.43257634397754,-10.442673985255276
9360.226,-9.878376544672031,-9.989639436915013
9360.228,-9.426276745366522,-9.502617931747794
9360.23,-9.085276946061011,-8.999534138058284
9360.232,-8.727177146755501,-8.492682222220655
9360.234,-8.215677347449992,-7.982048144220862
9360.236,-7.490877548144483,-7.4600313284183315
9360.238,-6.672677748838973,-6.919753880815168
9360.24,-5.930777949533463,-6.360777626613199
9360.242,-5.325478150227954,-5.7901852474551045
9360.244,-4.839478350922446,-5.221690362154503
9360.246,-4.438978551616937,-4.670116031434458
9360.248,-4.080878752311427,-4.148786067158778
9360.25,-3.697078953005917,-3.6648301148171116
9360.252,-3.2622791537004074,-3.217206314107597
9360.254,-2.785079354394898,-2.7984123975679664
9360.256,-2.3669795550893884,-2.4013853395751945
9360.258,-2.0431797557838784,-2.025398611522753
9360.26,-1.7360799564783687,-1.6737171835756115
9360.262,-1.3100801571728589,-1.3496957345684495
9360.264,-0.7729803578673522,-1.0534832501102522
9360.266,-0.29548055856184163,-0.7818413799026696
9360.268,-0.07378075925633176,-0.5302541393897167
9360.27,-0.09938095995082286,-0.29452800803787293
9360.272,-0.15048116064531314,-0.06969254007669286
9360.274,-0.02268136133980292,0.14552466884622822
