TimeSinceReference,Pressure,SmoothedPressure
10434.1,-0.2777368423409534,-0.5266722512563684
10434.102,0.07206295696455456,-0.28090642878483346
10434.104,0.3107627562700639,-0.0796530106657035
10434.106,0.3960625555755737,0.08168676757978634
10434.108,0.3618623548810831,0.2156720214307516
10434.11,0.34476215418659173,0.3325876578720993
10434.112,0.3960619534921026,0.43484387697402954
10434.114,0.4642617527976114,0.5172342694701331
10434.116,0.4471615521031218,0.5779806184421927
10434.118,0.3873613514086305,0.6249235697308545
10434.12,0.39606115071414116,0.6723936112266067
10434.122,0.5408609500196491,0.729636709935416
10434.124,0.7284607493251585,0.7934512442356609
10434.126,0.8477605486306672,0.854437789767917
10434.128,0.8732603479361778,0.9061746406704786
10434.13,0.8819601472416867,0.9509003508218993
10434.132,0.9416599465471958,0.9953073386145976
10434.134,1.0438597458527052,1.0459037261966957
10434.136,1.1461595451582163,1.1057069653056457
10434.138,1.231459344463726,1.1734750833194745
10434.14,1.2825591437692356,1.244316827166929
10434.142,1.2399589430747433,1.3136241659599788
10434.144,1.137758742380253,1.379904098645622
10434.146,1.0609585416857623,1.4453095350167688
10434.148,1.1717583409912713,1.5085528864458309
10434.15,1.487258140296781,1.5615572347158904
10434.152,1.8452579396022912,1.594052836057202
10434.154,2.0498577389078,1.6058430741131502
10434.156,2.015857538213311,1.6090048951806817
10434.158,1.8539573375188194,1.6178265267080232
10434.16,1.7173571368243294,1.6363994674666744
10434.162,1.6833569361298384,1.6575987192116362
10434.164,1.6918567354353478,1.6746373882960157
10434.166,1.6747565347408564,1.6883524210167586
10434.168,1.5894563340463659,1.7033664919965399
10434.17,1.4957561333518754,1.7180544204701789
10434.172,1.4531559326573849,1.7237726051740738
10434.174,1.4702557319628955,1.7117340822612608
10434.176,1.4702555312684051,1.6777235340764227
10434.178,1.359355330573914,1.6188441196227177
10434.18,1.146155129879423,1.5316139856182929
10434.182,0.9672549291849322,1.412515048525065
10434.184,0.9756547284904418,1.264711688827414
10434.186,1.1632545277959512,1.0968193084207423
10434.188,1.342254327101461,0.9104845131316555
10434.19,1.3080541264069705,0.6952331506260012
10434.192,1.0438539257124795,0.43308899064754913
10434.194,0.6771537250179893,0.11352035892462467
10434.196,0.3533535243235004,-0.258387809477837
10434.198,0.029353323629008443,-0.6682908673151884
10434.2,-0.4225468770654821,-1.103550043088658
10434.202,-1.053447077759973,-1.5592481588410678
10434.204,-1.7354472784544637,-2.037121171048374
10434.206,-2.3236474791489536,-2.5345547167762144
10434.208,-2.792747679843444,-3.04001552821132
10434.21,-3.2446478805379346,-3.5337589721490588
10434.212,-3.7902480812324253,-3.9975851960095765
10434.214,-4.420948281926916,-4.423036769115443
10434.216,-5.060548482621406,-4.813091094064062
10434.218,-5.657248683315896,-5.1709509718382325
10434.22,-6.245548884010388,-5.489996725358279
10434.222,-6.7656490847048785,-5.753774553290398
10434.224,-7.0980492853993695,-5.9454873899975285
10434.226,-7.132249486093859,-6.0571682646126925
10434.228,-6.90194968678835,-6.087458875977594
10434.23,-6.5866498874828405,-6.035864489097497
10434.232,-6.30525008817733,-5.897544605551901
10434.234,-6.074950288871821,-5.673400250261834
10434.236,-5.785150489566311,-5.377564754220625
10434.238,-5.307650690260801,-5.033812859443017
10434.24,-4.651250890955294,-4.663525906750352
10434.242,-3.9350510916497843,-4.273196518115249
10434.244,-3.3467512923442744,-3.856629544362561
10434.246,-2.980351493038765,-3.4080290851763877
